업소명,업종,지역,연락처,주소,영업시간,품목,데이터기준일자
줄서서먹는짜장,음식점,서귀포시,064-738-6465,제주특별자치도 서귀포시 일주동로 9213,11:00~20:00브레이크타임 14:30~17:00 / 첫째. 둘째 금요일셋째. 넷째 토요일,환경짜장 3500원 짬뽕 6000원,2021-06-15
소리헤어샵,이미용,서귀포시,064-762-0806,제주특별자치도 서귀포시 중앙로4번길 4,09:00 ~ 20:00 / 매주 화요일,일반펌 30000원 염색 30000원,2021-06-15
영미용실,이미용,서귀포시,064-762-8043,제주특별자치도 서귀포시 이중섭로 5-7,08:00 ~ 18:00 / 연중무휴,커트 7000원 파마 30000원,2021-06-15
영미헤어라인,이미용,서귀포시,064-762-5458,제주특별자치도 서귀포시 중앙로48번길 8-1,09:30 ~ 18:30 / 매주 일요일,커트 10000원 드라이 6000원~10000원,2021-06-15
영천이용원,이미용,서귀포시,064-732-7683,제주특별자치도 서귀포시 516로 462,07:30 ~ 19:00 / 매주 화요일,커트 12000원 이발 15000원,2021-06-15
삼진미용실,이미용,서귀포시,064-762-9933,제주특별자치도 서귀포시 중앙로 198-11,09:00 ~ 18:30 / 연중무휴,커트(샴푸미포함) 12000원 파마 25000원,2021-06-15
아름다운풍경미용실,이미용,서귀포시,064-732-8588,제주특별자치도 서귀포시 흙담솔로 20,08:00 ~ 19:00 / 첫째.셋째 일요일,커트 9000원 파마 25000원,2021-06-15
웰빙이용원,이미용,서귀포시,064-738-6444,제주특별자치도 서귀포시 천제연로188번길 6-6,08:00 ~ 19:00 / 매주 월요일,커트 10000원~12000원 염색 12000원,2021-06-15
대림모텔,숙박업,서귀포시,064-732-0500,제주특별자치도 서귀포시 중정로 21,24시간 영업 / 연중무휴,일반실 30000원,2021-06-15
장원민박,숙박업,서귀포시,064-738-1110,제주특별자치도 서귀포시 천제연로 49,24시간 영업 / 연중무휴,8평 25000원 10평 30000원,2021-06-15
스피드세탁소,세탁업,서귀포시,064-764-4071,제주특별자치도 서귀포시 남원읍 태위로 657,07:30 ~ 19:30토요일 14시까지 / 매주 일요일. 공휴일(예약시 24시간 운영),양복1벌 7000원 이불(겨울용) 6000원~7000원,2021-06-15
화순새마을목욕탕,목욕업,서귀포시,064-794-8884,제주특별자치도 서귀포시 안덕면 화순중앙로 76,06:30~20:00 / 연중무휴,목욕(성인) 4000원 목욕(사랑의 열매소지자 성인) 3000원 목욕(어린이) 2000원,2021-06-15
큰길,음식점,서귀포시,064-792-0661,제주특별자치도 서귀포시 안덕면 병악로 113,10:30~16:00 / 설.추석 당일 및 익일,김치찌개 6000원 비빔밥 6000원 돈가스 7000원,2021-06-15
윤경미용실,이미용,서귀포시,064-762-1954,제주특별자치도 서귀포시 중정로 91번길 53-1,09:00~21:30 / 매주 수요일,커트 10000원 파마 30000원,2021-06-15
금복식당,음식점,서귀포시,064-762-2243,제주특별자치도 서귀포시 중앙로62번길 18,11:00~15:00 / 매주 일요일.명절연휴,비빔밥 3000원 보리밥 3000원,2021-06-15
오일장왕십리식당,음식점,서귀포시,064-733-0105,제주특별자치도 서귀포시 토평서로11번길 150,(장날) 05:00~19:00 (평일) 07:30~16:00 / 연중무휴,고기국밥 6000원 순대국밥 6000원,2021-06-15
일번지식당,음식점,서귀포시,064-733-0686,제주특별자치도 서귀포시 토평서로11번길 150,(장날) 05:00~20:00 (평일) 07:00~15:00 / 설.추석당일,정식 6000원 순대국밥 6000원,2021-06-15
오규동,음식점,서귀포시,064-733-0590,제주특별자치도 서귀포시 홍중로 23,11:00~21:00 / 연중무휴,규동 5900원 부타동 5900원 김치동 5900원,2021-06-15
엠버의 국수가게,음식점,서귀포시,,제주특별자치도 서귀포시 중앙로101번길 13-2,11:00~20:00 / 매주 일요일,잔치국수 4500원 비빔국수 5500원,2021-06-15
삼매봉153,음식점,서귀포시,064-762-1532,제주특별자치도 서귀포시 남성중로 153번길 15,11:30~14:3017:00~18:00 / 매주 금요일,돈까스 6000원 생선까스 6000원 함박스테이크 6000원,2021-06-15
